guid,Country,Country:sv,Country info,Country info:sv,Capital,Capital:sv,Capital info,Capital info:sv,Capital hint,Capital hint:sv,Flag,Flag similarity,Flag similarity:sv,Map,tags
cd|8X=p-KA,Yemen,Jemen, ,Alternativt Yemen,Sana'a,Sanaa,,"Även Sana’a, Sana",,,"<img src=""ug-flag-yemen.svg"" />","Egypt (with emblem), Iraq (with text), Syria (with two stars)",,"<img src=""ug-map-yemen.png"" />",UG::Asia UG::Middle_East UG::Sovereign_State
n(u/Le9LCH,Vietnam,Vietnam, , ,Hanoi,Hanoi,,,,,"<img src=""ug-flag-vietnam.svg"" />",,,"<img src=""ug-map-vietnam.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
kN&[K]7`>c,Uzbekistan,Uzbekistan, , ,Tashkent,Tasjkent,,,,,"<img src=""ug-flag-uzbekistan.svg"" />",,,"<img src=""ug-map-uzbekistan.png"" />",UG::Asia UG::Sovereign_State
e%F*sk0uaT,Fiji,Fiji, , ,Suva,Suva,,,,,"<img src=""ug-flag-fiji.svg"" />",,,"<img src=""ug-map-fiji.png"" />",UG::Oceania UG::Sovereign_State
jT[(te+7i%,Papua New Guinea,Papua Nya Guinea, , ,Port Moresby,Port Moresby,,Även Pot Mosbi,,,"<img src=""ug-flag-papua_new_guinea.svg"" />",,,"<img src=""ug-map-papua_new_guinea.png"" />",UG::Oceania UG::Sovereign_State
i~E.z}UxNF,Australia,Australien, , ,Canberra,Canberra,,,,,"<img src=""ug-flag-australia.svg"" />","New Zealand (red stars, two fewer stars)",,"<img src=""ug-map-australia.png"" />",UG::Oceania UG::Sovereign_State
pAOtFl&>U#,Solomon Islands,Salomonöarna, , ,Honiara,Honiara,,,,,"<img src=""ug-flag-solomon_islands.svg"" />",,,"<img src=""ug-map-solomon_islands.png"" />",UG::Oceania UG::Sovereign_State
"lnwLD_&,vQ",Argentina,Argentina, , ,Buenos Aires,Buenos Aires,,,,,"<img src=""ug-flag-argentina.svg"" />",,,"<img src=""ug-map-argentina.png"" />",UG::South_America UG::Sovereign_State
iT9GkRCv}3,Bolivia,Bolivia, , ,Sucre,Sucre,"While Sucre is the constitutional capital, La Paz is the seat of government.",,,,"<img src=""ug-flag-bolivia-blur.png"" /><img src=""ug-flag-bolivia.png"" />",Ghana (star instead of coat of arms),,"<img src=""ug-map-bolivia.png"" />",UG::South_America UG::Sovereign_State
q1+V%/.{Ud,Brazil,Brasilien, , ,Brasilia,Brasília,,,,,"<img src=""ug-flag-brazil.svg"" />",,,"<img src=""ug-map-brazil.png"" />",UG::South_America UG::Sovereign_State
ohAyl/RDzo,Chile,Chile, , ,Santiago,Santiago de Chile,,Ofta enbart Santiago,,,"<img src=""ug-flag-chile.svg"" />",,,"<img src=""ug-map-chile.png"" />",UG::South_America UG::Sovereign_State
f0(HVIK@$w,Colombia,Colombia, , ,Bogotá,Bogotá,,,,,"<img src=""ug-flag-colombia.svg"" />",Ecuador (with coat of arms),,"<img src=""ug-map-colombia.png"" />",UG::South_America UG::Sovereign_State
jY<1R8gh$5,Ecuador,Ecuador, , ,Quito,Quito,,,,,"<img src=""ug-flag-ecuador.png"" />",Colombia (no coat of arms),,"<img src=""ug-map-ecuador.png"" />",UG::South_America UG::Sovereign_State
ow]5&Kht`e,Guyana,Guyana, , ,Georgetown,Georgetown,,,,,"<img src=""ug-flag-guyana.svg"" />",,,"<img src=""ug-map-guyana.png"" />",UG::South_America UG::Sovereign_State
qksH)(ibFv,Paraguay,Paraguay, , ,Asunción,Asunción,,,,,"<img src=""ug-flag-paraguay-blur.svg"" /><img src=""ug-flag-paraguay.svg"" />",,,"<img src=""ug-map-paraguay.png"" />",UG::South_America UG::Sovereign_State
h%Lx8uxLJ{,Peru,Peru, , ,Lima,Lima,,,,,"<img src=""ug-flag-peru.png"" />",,,"<img src=""ug-map-peru.png"" />",UG::South_America UG::Sovereign_State
"i0)jG,7&w>",Suriname,Surinam, , ,Paramaribo,Paramaribo,,,,,"<img src=""ug-flag-suriname.svg"" />",,,"<img src=""ug-map-suriname.png"" />",UG::South_America UG::Sovereign_State
cBO(I-Le=v,Uruguay,Uruguay, , ,Montevideo,Montevideo,,,,,"<img src=""ug-flag-uruguay.svg"" />",,,"<img src=""ug-map-uruguay.png"" />",UG::South_America UG::Sovereign_State
mkj;-5D/)m,Venezuela,Venezuela, , ,Caracas,Caracas,,,,,"<img src=""ug-flag-venezuela.png"" />",,,"<img src=""ug-map-venezuela.png"" />",UG::South_America UG::Sovereign_State
qd$w_!A9y<,Cook Islands,Cooköarna, , ,Avarua,Avarua,,,,,"<img src=""ug-flag-cook_islands.svg"" />",,,"<img src=""ug-map-cook_islands.png"" />",UG::Oceania UG::Sovereign_State
iaA$(k1aV>,Federated States of Micronesia,Mikronesiens federerade stater, ,Även känt som Mikronesiska federationen,Palikir,Palikir,,,,,"<img src=""ug-flag-federated_states_of_micronesia.svg"" />",,,"<img src=""ug-map-federated_states_of_micronesia.png"" />",UG::Oceania UG::Sovereign_State
b`8}eUH!Ii,Guam,Guam,Unincorporated territory of the United States., ,Hagåtña,Hagåtña,,Tidigare Agana,,,"<img src=""ug-flag-guam-blur.svg"" /><img src=""ug-flag-guam.svg"" />",,,"<img src=""ug-map-guam.png"" />",UG::Oceania
(q~{y)|kE,Vanuatu,Vanuatu, , ,Port Vila,Port Vila,,,,,"<img src=""ug-flag-vanuatu.svg"" />",,,"<img src=""ug-map-vanuatu.png"" />",UG::Oceania UG::Sovereign_State
